input,output,category_name,operations
R,r,lower_first,lowercase+first_letter
S,s,lower_first,lowercase+first_letter
T,t,lower_first,lowercase+first_letter
U,u,lower_first,lowercase+first_letter
V,v,lower_first,lowercase+first_letter
W,w,lower_first,lowercase+first_letter
X,x,lower_first,lowercase+first_letter
Y,y,lower_first,lowercase+first_letter
Z,z,lower_first,lowercase+first_letter
b,B,upper_last,uppercase+last_letter
a,A,upper_last,uppercase+last_letter
d,D,upper_last,uppercase+last_letter
e,E,upper_last,uppercase+last_letter
f,F,upper_last,uppercase+last_letter
g,G,upper_last,uppercase+last_letter
h,H,upper_last,uppercase+last_letter
i,I,upper_last,uppercase+last_letter
j,J,upper_last,uppercase+last_letter
c,C,upper_last,uppercase+last_letter
k,K,upper_last,uppercase+last_letter
l,L,upper_last,uppercase+last_letter
m,M,upper_last,uppercase+last_letter
n,N,upper_last,uppercase+last_letter
o,O,upper_last,uppercase+last_letter
p,P,upper_last,uppercase+last_letter
q,Q,upper_last,uppercase+last_letter
r,R,upper_last,uppercase+last_letter
s,S,upper_last,uppercase+last_letter
t,T,upper_last,uppercase+last_letter
u,U,upper_last,uppercase+last_letter
v,V,upper_last,uppercase+last_letter
w,W,upper_last,uppercase+last_letter
x,X,upper_last,uppercase+last_letter
y,Y,upper_last,uppercase+last_letter
z,Z,upper_last,uppercase+last_letter
B,b,lower_last,lowercase+last_letter
A,a,lower_last,lowercase+last_letter
D,d,lower_last,lowercase+last_letter
E,e,lower_last,lowercase+last_letter
F,f,lower_last,lowercase+last_letter
G,g,lower_last,lowercase+last_letter
H,h,lower_last,lowercase+last_letter
I,i,lower_last,lowercase+last_letter
J,j,lower_last,lowercase+last_letter
C,c,lower_last,lowercase+last_letter
K,k,lower_last,lowercase+last_letter
L,l,lower_last,lowercase+last_letter
M,m,lower_last,lowercase+last_letter
N,n,lower_last,lowercase+last_letter
O,o,lower_last,lowercase+last_letter
P,p,lower_last,lowercase+last_letter
Q,q,lower_last,lowercase+last_letter
R,r,lower_last,lowercase+last_letter
S,s,lower_last,lowercase+last_letter
T,t,lower_last,lowercase+last_letter
U,u,lower_last,lowercase+last_letter
V,v,lower_last,lowercase+last_letter
W,w,lower_last,lowercase+last_letter
X,x,lower_last,lowercase+last_letter
Y,y,lower_last,lowercase+last_letter
Z,z,lower_last,lowercase+last_letter
the cat went up the tree,T,first_upper,first_letter+uppercase
elephants are cool,E,first_upper,first_letter+uppercase
beautiful morning sunshine,B,first_upper,first_letter+uppercase
running through the forest,R,first_upper,first_letter+uppercase
amazing journey ahead,A,first_upper,first_letter+uppercase
quickly jumping over fences,Q,first_upper,first_letter+uppercase
wonderful day for walking,W,first_upper,first_letter+uppercase
sitting by the ocean,S,first_upper,first_letter+uppercase
laughing with friends,L,first_upper,first_letter+uppercase
dancing in the moonlight,D,first_upper,first_letter+uppercase
purple flowers blooming everywhere,P,first_upper,first_letter+uppercase
velvet curtains hanging gracefully,V,first_upper,first_letter+uppercase
mountain peaks touching clouds,M,first_upper,first_letter+uppercase
children playing in park,C,first_upper,first_letter+uppercase
orange sunset over hills,O,first_upper,first_letter+uppercase
friendly neighborhood gathering together,F,first_upper,first_letter+uppercase
gentle breeze flowing softly,G,first_upper,first_letter+uppercase
kind words spoken warmly,K,first_upper,first_letter+uppercase
joyful celebration with everyone,J,first_upper,first_letter+uppercase
happy memories being made,H,first_upper,first_letter+uppercase
incredible adventure awaits you,I,first_upper,first_letter+uppercase
zebras running across plains,Z,first_upper,first_letter+uppercase
young birds learning flight,Y,first_upper,first_letter+uppercase
new opportunities emerging daily,N,first_upper,first_letter+uppercase
umbrella protecting from rain,U,first_upper,first_letter+uppercase
treasures hidden beneath sand,T,first_upper,first_letter+uppercase
excited children opening presents,E,first_upper,first_letter+uppercase
quiet moments of reflection,Q,first_upper,first_letter+uppercase
brave heroes saving day,B,first_upper,first_letter+uppercase
simple pleasures of life,S,first_upper,first_letter+uppercase
ancient trees standing tall,A,first_upper,first_letter+uppercase
rivers flowing to sea,R,first_upper,first_letter+uppercase
delicious food on table,D,first_upper,first_letter+uppercase
warm sunshine on face,W,first_upper,first_letter+uppercase
loving family together always,L,first_upper,first_letter+uppercase
peaceful garden with flowers,P,first_upper,first_letter+uppercase
magnificent view from mountain,M,first_upper,first_letter+uppercase
creative ideas flowing freely,C,first_upper,first_letter+uppercase
vibrant colors everywhere around,V,first_upper,first_letter+uppercase
old stories being retold,O,first_upper,first_letter+uppercase
graceful dancers on stage,G,first_upper,first_letter+uppercase
fearless explorers finding treasure,F,first_upper,first_letter+uppercase
interesting books on shelf,I,first_upper,first_letter+uppercase
knowledge gained through reading,K,first_upper,first_letter+uppercase
huge waves crashing ashore,H,first_upper,first_letter+uppercase
xerox machine making copies,X,first_upper,first_letter+uppercase
zealous students studying hard,Z,first_upper,first_letter+uppercase
natural beauty surrounds us,N,first_upper,first_letter+uppercase
unique experiences shape us,U,first_upper,first_letter+uppercase
joyous occasions bring happiness,J,first_upper,first_letter+uppercase
traveling to distant lands,T,first_upper,first_letter+uppercase
eating fresh strawberries daily,E,first_upper,first_letter+uppercase
building sandcastles at beach,B,first_upper,first_letter+uppercase
reading novels by fireplace,R,first_upper,first_letter+uppercase
admiring beautiful sunset views,A,first_upper,first_letter+uppercase
questioning everything around us,Q,first_upper,first_letter+uppercase
writing stories late night,W,first_upper,first_letter+uppercase
studying mathematics very carefully,S,first_upper,first_letter+uppercase
learning new languages quickly,L,first_upper,first_letter+uppercase
drawing pictures with crayons,D,first_upper,first_letter+uppercase
playing guitar on weekends,P,first_upper,first_letter+uppercase
visiting museums and galleries,V,first_upper,first_letter+uppercase
making friends wherever going,M,first_upper,first_letter+uppercase
collecting stamps from countries,C,first_upper,first_letter+uppercase
organizing special birthday parties,O,first_upper,first_letter+uppercase
finding treasures in attic,F,first_upper,first_letter+uppercase
growing vegetables in garden,G,first_upper,first_letter+uppercase
keeping diaries of adventures,K,first_upper,first_letter+uppercase
jumping rope with children,J,first_upper,first_letter+uppercase
helping neighbors with tasks,H,first_upper,first_letter+uppercase
inventing clever new solutions,I,first_upper,first_letter+uppercase
xeroxing important documents carefully,X,first_upper,first_letter+uppercase
zipping through busy streets,Z,first_upper,first_letter+uppercase
negotiating deals with partners,N,first_upper,first_letter+uppercase
understanding complex mathematical concepts,U,first_upper,first_letter+uppercase
joining clubs at university,J,first_upper,first_letter+uppercase
yelling across the field,Y,first_upper,first_letter+uppercase
teaching children important lessons,T,first_upper,first_letter+uppercase
exploring deep ocean depths,E,first_upper,first_letter+uppercase
questioning authority respectfully always,Q,first_upper,first_letter+uppercase
brilliant minds thinking alike,B,first_upper,first_letter+uppercase
racing against time limits,R,first_upper,first_letter+uppercase
achieving goals through effort,A,first_upper,first_letter+uppercase
dreaming big every day,D,first_upper,first_letter+uppercase
winning competitions with skill,W,first_upper,first_letter+uppercase
singing songs from heart,S,first_upper,first_letter+uppercase
loving nature and wildlife,L,first_upper,first_letter+uppercase
performing magic tricks successfully,P,first_upper,first_letter+uppercase
caring for elderly neighbors,C,first_upper,first_letter+uppercase
volunteering at local shelter,V,first_upper,first_letter+uppercase
mysterious shadows moving slowly,M,first_upper,first_letter+uppercase
powerful engine roaring loudly,P,first_upper,first_letter+uppercase
colorful butterflies flying gracefully,C,first_upper,first_letter+uppercase
golden sunrise breaking dawn,G,first_upper,first_letter+uppercase
frozen lake covered completely,F,first_upper,first_letter+uppercase
towering mountains reaching skyward,T,first_upper,first_letter+uppercase
sparkling diamonds shining bright,S,first_upper,first_letter+uppercase
peaceful meadow stretching endlessly,P,first_upper,first_letter+uppercase
rushing river flowing fast,R,first_upper,first_letter+uppercase
brilliant stars twinkling above,B,first_upper,first_letter+uppercase
gentle rain falling softly,G,first_upper,first_letter+uppercase
heavy snow blanketing ground,H,first_upper,first_letter+uppercase
warm breeze blowing gently,W,first_upper,first_letter+uppercase
loud thunder rumbling overhead,L,first_upper,first_letter+uppercase
bright lightning striking suddenly,B,first_upper,first_letter+uppercase
thick fog rolling inland,T,first_upper,first_letter+uppercase
clear sky stretching forever,C,first_upper,first_letter+uppercase
dark clouds gathering quickly,D,first_upper,first_letter+uppercase
white sand sparkling beautifully,W,first_upper,first_letter+uppercase
deep ocean hiding secrets,D,first_upper,first_letter+uppercase
tall grass swaying rhythmically,T,first_upper,first_letter+uppercase
wild horses running free,W,first_upper,first_letter+uppercase
small birds chirping happily,S,first_upper,first_letter+uppercase
big bears catching fish,B,first_upper,first_letter+uppercase
clever foxes hunting prey,C,first_upper,first_letter+uppercase
wise owls watching silently,W,first_upper,first_letter+uppercase
playful dolphins jumping high,P,first_upper,first_letter+uppercase
majestic eagles soaring overhead,M,first_upper,first_letter+uppercase
colorful parrots talking loudly,C,first_upper,first_letter+uppercase
tiny insects buzzing around,T,first_upper,first_letter+uppercase
slithering snakes moving quietly,S,first_upper,first_letter+uppercase
hopping rabbits eating carrots,H,first_upper,first_letter+uppercase
swimming turtles moving slowly,S,first_upper,first_letter+uppercase
climbing monkeys swinging branches,C,first_upper,first_letter+uppercase
roaring lions hunting tonight,R,first_upper,first_letter+uppercase
striped zebras grazing peacefully,S,first_upper,first_letter+uppercase
spotted leopards stalking silently,S,first_upper,first_letter+uppercase
giant elephants walking majestically,G,first_upper,first_letter+uppercase
graceful deer leaping bounds,G,first_upper,first_letter+uppercase
mighty whales swimming deep,M,first_upper,first_letter+uppercase
flying bats hunting insects,F,first_upper,first_letter+uppercase
crawling ants working together,C,first_upper,first_letter+uppercase
buzzing bees making honey,B,first_upper,first_letter+uppercase
spinning spiders weaving webs,S,first_upper,first_letter+uppercase
jumping frogs catching flies,J,first_upper,first_letter+uppercase
sliding penguins on ice,S,first_upper,first_letter+uppercase
waddling ducks crossing road,W,first_upper,first_letter+uppercase
pecking chickens finding food,P,first_upper,first_letter+uppercase
crowing roosters greeting morning,C,first_upper,first_letter+uppercase
bleating sheep in field,B,first_upper,first_letter+uppercase
mooing cows giving milk,M,first_upper,first_letter+uppercase
neighing horses pulling carts,N,first_upper,first_letter+uppercase
barking dogs guarding homes,B,first_upper,first_letter+uppercase
meowing cats chasing mice,M,first_upper,first_letter+uppercase
purring kittens sleeping soundly,P,first_upper,first_letter+uppercase
squeaking hamsters running wheels,S,first_upper,first_letter+uppercase
chirping crickets at night,C,first_upper,first_letter+uppercase
croaking frogs by pond,C,first_upper,first_letter+uppercase
howling wolves under moon,H,first_upper,first_letter+uppercase
screeching monkeys in jungle,S,first_upper,first_letter+uppercase
trumpeting elephants warning herd,T,first_upper,first_letter+uppercase
hissing snakes defending territory,H,first_upper,first_letter+uppercase
growling bears protecting cubs,G,first_upper,first_letter+uppercase
squealing pigs eating food,S,first_upper,first_letter+uppercase
gobbling turkeys strutting proudly,G,first_upper,first_letter+uppercase
quacking ducks swimming pond,Q,first_upper,first_letter+uppercase
honking geese flying south,H,first_upper,first_letter+uppercase
cooing pigeons on rooftop,C,first_upper,first_letter+uppercase
singing canaries in cage,S,first_upper,first_letter+uppercase
talking parrots repeating words,T,first_upper,first_letter+uppercase
flapping wings taking flight,F,first_upper,first_letter+uppercase
nesting birds building homes,N,first_upper,first_letter+uppercase
hatching eggs revealing chicks,H,first_upper,first_letter+uppercase
feeding babies opening mouths,F,first_upper,first_letter+uppercase
hunting predators stalking carefully,H,first_upper,first_letter+uppercase
escaping prey running frantically,E,first_upper,first_letter+uppercase
hiding animals staying still,H,first_upper,first_letter+uppercase
sleeping creatures resting peacefully,S,first_upper,first_letter+uppercase
waking animals greeting day,W,first_upper,first_letter+uppercase
stretching muscles after sleep,S,first_upper,first_letter+uppercase
yawning mouths showing tired,Y,first_upper,first_letter+uppercase
blinking eyes adjusting light,B,first_upper,first_letter+uppercase
breathing air filling lungs,B,first_upper,first_letter+uppercase
beating hearts pumping blood,B,first_upper,first_letter+uppercase
thinking minds solving problems,T,first_upper,first_letter+uppercase
feeling emotions deeply inside,F,first_upper,first_letter+uppercase
remembering moments from past,R,first_upper,first_letter+uppercase
forgetting details over time,F,first_upper,first_letter+uppercase
learning lessons through experience,L,first_upper,first_letter+uppercase
teaching others valuable skills,T,first_upper,first_letter+uppercase
sharing knowledge with everyone,S,first_upper,first_letter+uppercase
discovering truths about life,D,first_upper,first_letter+uppercase
questioning assumptions we hold,Q,first_upper,first_letter+uppercase
believing strongly in values,B,first_upper,first_letter+uppercase
doubting everything we know,D,first_upper,first_letter+uppercase
hoping for better tomorrow,H,first_upper,first_letter+uppercase
wishing upon shooting stars,W,first_upper,first_letter+uppercase
dreaming vividly at night,D,first_upper,first_letter+uppercase
imagining possibilities ahead,I,first_upper,first_letter+uppercase
creating art from nothing,C,first_upper,first_letter+uppercase
b,B,upper_reverse_first,uppercase+reverse+first_letter
a,A,upper_reverse_first,uppercase+reverse+first_letter
d,D,upper_reverse_first,uppercase+reverse+first_letter
e,E,upper_reverse_first,uppercase+reverse+first_letter
f,F,upper_reverse_first,uppercase+reverse+first_letter
g,G,upper_reverse_first,uppercase+reverse+first_letter
h,H,upper_reverse_first,uppercase+reverse+first_letter
i,I,upper_reverse_first,uppercase+reverse+first_letter
j,J,upper_reverse_first,uppercase+reverse+first_letter
c,C,upper_reverse_first,uppercase+reverse+first_letter
k,K,upper_reverse_first,uppercase+reverse+first_letter
l,L,upper_reverse_first,uppercase+reverse+first_letter
m,M,upper_reverse_first,uppercase+reverse+first_letter
n,N,upper_reverse_first,uppercase+reverse+first_letter
o,O,upper_reverse_first,uppercase+reverse+first_letter
p,P,upper_reverse_first,uppercase+reverse+first_letter
q,Q,upper_reverse_first,uppercase+reverse+first_letter
r,R,upper_reverse_first,uppercase+reverse+first_letter
s,S,upper_reverse_first,uppercase+reverse+first_letter
t,T,upper_reverse_first,uppercase+reverse+first_letter
u,U,upper_reverse_first,uppercase+reverse+first_letter
v,V,upper_reverse_first,uppercase+reverse+first_letter
w,W,upper_reverse_first,uppercase+reverse+first_letter
x,X,upper_reverse_first,uppercase+reverse+first_letter
y,Y,upper_reverse_first,uppercase+reverse+first_letter
z,Z,upper_reverse_first,uppercase+reverse+first_letter
B,b,lower_reverse_first,lowercase+reverse+first_letter
A,a,lower_reverse_first,lowercase+reverse+first_letter
D,d,lower_reverse_first,lowercase+reverse+first_letter
E,e,lower_reverse_first,lowercase+reverse+first_letter
F,f,lower_reverse_first,lowercase+reverse+first_letter
G,g,lower_reverse_first,lowercase+reverse+first_letter
H,h,lower_reverse_first,lowercase+reverse+first_letter
I,i,lower_reverse_first,lowercase+reverse+first_letter
J,j,lower_reverse_first,lowercase+reverse+first_letter
C,c,lower_reverse_first,lowercase+reverse+first_letter
K,k,lower_reverse_first,lowercase+reverse+first_letter
L,l,lower_reverse_first,lowercase+reverse+first_letter
M,m,lower_reverse_first,lowercase+reverse+first_letter
N,n,lower_reverse_first,lowercase+reverse+first_letter
O,o,lower_reverse_first,lowercase+reverse+first_letter
P,p,lower_reverse_first,lowercase+reverse+first_letter
Q,q,lower_reverse_first,lowercase+reverse+first_letter
R,r,lower_reverse_first,lowercase+reverse+first_letter
S,s,lower_reverse_first,lowercase+reverse+first_letter
T,t,lower_reverse_first,lowercase+reverse+first_letter
U,u,lower_reverse_first,lowercase+reverse+first_letter
V,v,lower_reverse_first,lowercase+reverse+first_letter
W,w,lower_reverse_first,lowercase+reverse+first_letter
X,x,lower_reverse_first,lowercase+reverse+first_letter
Y,y,lower_reverse_first,lowercase+reverse+first_letter
Z,z,lower_reverse_first,lowercase+reverse+first_letter
b,B,upper_reverse_last,uppercase+reverse+last_letter
a,A,upper_reverse_last,uppercase+reverse+last_letter
d,D,upper_reverse_last,uppercase+reverse+last_letter
e,E,upper_reverse_last,uppercase+reverse+last_letter
f,F,upper_reverse_last,uppercase+reverse+last_letter
g,G,upper_reverse_last,uppercase+reverse+last_letter
h,H,upper_reverse_last,uppercase+reverse+last_letter
i,I,upper_reverse_last,uppercase+reverse+last_letter
j,J,upper_reverse_last,uppercase+reverse+last_letter
c,C,upper_reverse_last,uppercase+reverse+last_letter
k,K,upper_reverse_last,uppercase+reverse+last_letter
l,L,upper_reverse_last,uppercase+reverse+last_letter
m,M,upper_reverse_last,uppercase+reverse+last_letter
n,N,upper_reverse_last,uppercase+reverse+last_letter
o,O,upper_reverse_last,uppercase+reverse+last_letter
p,P,upper_reverse_last,uppercase+reverse+last_letter
q,Q,upper_reverse_last,uppercase+reverse+last_letter
r,R,upper_reverse_last,uppercase+reverse+last_letter
s,S,upper_reverse_last,uppercase+reverse+last_letter
t,T,upper_reverse_last,uppercase+reverse+last_letter
u,U,upper_reverse_last,uppercase+reverse+last_letter
v,V,upper_reverse_last,uppercase+reverse+last_letter
w,W,upper_reverse_last,uppercase+reverse+last_letter
x,X,upper_reverse_last,uppercase+reverse+last_letter
y,Y,upper_reverse_last,uppercase+reverse+last_letter
z,Z,upper_reverse_last,uppercase+reverse+last_letter
B,b,lower_reverse_last,lowercase+reverse+last_letter
A,a,lower_reverse_last,lowercase+reverse+last_letter
D,d,lower_reverse_last,lowercase+reverse+last_letter
E,e,lower_reverse_last,lowercase+reverse+last_letter
F,f,lower_reverse_last,lowercase+reverse+last_letter
G,g,lower_reverse_last,lowercase+reverse+last_letter
H,h,lower_reverse_last,lowercase+reverse+last_letter
I,i,lower_reverse_last,lowercase+reverse+last_letter
J,j,lower_reverse_last,lowercase+reverse+last_letter
C,c,lower_reverse_last,lowercase+reverse+last_letter
K,k,lower_reverse_last,lowercase+reverse+last_letter
L,l,lower_reverse_last,lowercase+reverse+last_letter
M,m,lower_reverse_last,lowercase+reverse+last_letter
N,n,lower_reverse_last,lowercase+reverse+last_letter
O,o,lower_reverse_last,lowercase+reverse+last_letter
P,p,lower_reverse_last,lowercase+reverse+last_letter
Q,q,lower_reverse_last,lowercase+reverse+last_letter
R,r,lower_reverse_last,lowercase+reverse+last_letter
S,s,lower_reverse_last,lowercase+reverse+last_letter
T,t,lower_reverse_last,lowercase+reverse+last_letter
U,u,lower_reverse_last,lowercase+reverse+last_letter
V,v,lower_reverse_last,lowercase+reverse+last_letter
W,w,lower_reverse_last,lowercase+reverse+last_letter
X,x,lower_reverse_last,lowercase+reverse+last_letter
Y,y,lower_reverse_last,lowercase+reverse+last_letter
Z,z,lower_reverse_last,lowercase+reverse+last_letter
hello,BONJOUR,translate_eng_fr_upper,translate_eng_fr+uppercase
goodbye,AU REVOIR,translate_eng_fr_upper,translate_eng_fr+uppercase
thank you,MERCI,translate_eng_fr_upper,translate_eng_fr+uppercase
please,S'IL VOUS PLAÎT,translate_eng_fr_upper,translate_eng_fr+uppercase
yes,OUI,translate_eng_fr_upper,translate_eng_fr+uppercase
no,NON,translate_eng_fr_upper,translate_eng_fr+uppercase
water,EAU,translate_eng_fr_upper,translate_eng_fr+uppercase
house,MAISON,translate_eng_fr_upper,translate_eng_fr+uppercase
cat,CHAT,translate_eng_fr_upper,translate_eng_fr+uppercase
dog,CHIEN,translate_eng_fr_upper,translate_eng_fr+uppercase
good morning,BONJOUR,translate_eng_fr_upper,translate_eng_fr+uppercase
good evening,BONSOIR,translate_eng_fr_upper,translate_eng_fr+uppercase
good night,BONNE NUIT,translate_eng_fr_upper,translate_eng_fr+uppercase
how are you,COMMENT ALLEZ-VOUS,translate_eng_fr_upper,translate_eng_fr+uppercase
I love you,JE T'AIME,translate_eng_fr_upper,translate_eng_fr+uppercase
friend,AMI,translate_eng_fr_upper,translate_eng_fr+uppercase
family,FAMILLE,translate_eng_fr_upper,translate_eng_fr+uppercase
food,NOURRITURE,translate_eng_fr_upper,translate_eng_fr+uppercase
book,LIVRE,translate_eng_fr_upper,translate_eng_fr+uppercase
car,VOITURE,translate_eng_fr_upper,translate_eng_fr+uppercase
tree,ARBRE,translate_eng_fr_upper,translate_eng_fr+uppercase
flower,FLEUR,translate_eng_fr_upper,translate_eng_fr+uppercase
sun,SOLEIL,translate_eng_fr_upper,translate_eng_fr+uppercase
moon,LUNE,translate_eng_fr_upper,translate_eng_fr+uppercase
star,ÉTOILE,translate_eng_fr_upper,translate_eng_fr+uppercase
bread,PAIN,translate_eng_fr_upper,translate_eng_fr+uppercase
cheese,FROMAGE,translate_eng_fr_upper,translate_eng_fr+uppercase
wine,VIN,translate_eng_fr_upper,translate_eng_fr+uppercase
coffee,CAFÉ,translate_eng_fr_upper,translate_eng_fr+uppercase
tea,THÉ,translate_eng_fr_upper,translate_eng_fr+uppercase
milk,LAIT,translate_eng_fr_upper,translate_eng_fr+uppercase
sugar,SUCRE,translate_eng_fr_upper,translate_eng_fr+uppercase
salt,SEL,translate_eng_fr_upper,translate_eng_fr+uppercase
pepper,POIVRE,translate_eng_fr_upper,translate_eng_fr+uppercase
table,TABLE,translate_eng_fr_upper,translate_eng_fr+uppercase
chair,CHAISE,translate_eng_fr_upper,translate_eng_fr+uppercase
door,PORTE,translate_eng_fr_upper,translate_eng_fr+uppercase
window,FENÊTRE,translate_eng_fr_upper,translate_eng_fr+uppercase
street,RUE,translate_eng_fr_upper,translate_eng_fr+uppercase
city,VILLE,translate_eng_fr_upper,translate_eng_fr+uppercase
country,PAYS,translate_eng_fr_upper,translate_eng_fr+uppercase
world,MONDE,translate_eng_fr_upper,translate_eng_fr+uppercase
time,TEMPS,translate_eng_fr_upper,translate_eng_fr+uppercase
day,JOUR,translate_eng_fr_upper,translate_eng_fr+uppercase
night,NUIT,translate_eng_fr_upper,translate_eng_fr+uppercase
week,SEMAINE,translate_eng_fr_upper,translate_eng_fr+uppercase
month,MOIS,translate_eng_fr_upper,translate_eng_fr+uppercase
year,AN,translate_eng_fr_upper,translate_eng_fr+uppercase
today,AUJOURD'HUI,translate_eng_fr_upper,translate_eng_fr+uppercase
tomorrow,DEMAIN,translate_eng_fr_upper,translate_eng_fr+uppercase
yesterday,HIER,translate_eng_fr_upper,translate_eng_fr+uppercase
school,ÉCOLE,translate_eng_fr_upper,translate_eng_fr+uppercase
student,ÉTUDIANT,translate_eng_fr_upper,translate_eng_fr+uppercase
teacher,PROFESSEUR,translate_eng_fr_upper,translate_eng_fr+uppercase
horse,CHEVAL,translate_eng_fr_upper,translate_eng_fr+uppercase
letter,LETTRE,translate_eng_fr_upper,translate_eng_fr+uppercase
word,MOT,translate_eng_fr_upper,translate_eng_fr+uppercase
sentence,PHRASE,translate_eng_fr_upper,translate_eng_fr+uppercase
page,PAGE,translate_eng_fr_upper,translate_eng_fr+uppercase
music,MUSIQUE,translate_eng_fr_upper,translate_eng_fr+uppercase
song,CHANSON,translate_eng_fr_upper,translate_eng_fr+uppercase
game,JEU,translate_eng_fr_upper,translate_eng_fr+uppercase
sport,SPORT,translate_eng_fr_upper,translate_eng_fr+uppercase
ball,BALLE,translate_eng_fr_upper,translate_eng_fr+uppercase
hand,MAIN,translate_eng_fr_upper,translate_eng_fr+uppercase
head,TÊTE,translate_eng_fr_upper,translate_eng_fr+uppercase
eye,ŒIL,translate_eng_fr_upper,translate_eng_fr+uppercase
ear,OREILLE,translate_eng_fr_upper,translate_eng_fr+uppercase
nose,NEZ,translate_eng_fr_upper,translate_eng_fr+uppercase
mouth,BOUCHE,translate_eng_fr_upper,translate_eng_fr+uppercase
heart,CŒUR,translate_eng_fr_upper,translate_eng_fr+uppercase
brain,CERVEAU,translate_eng_fr_upper,translate_eng_fr+uppercase
body,CORPS,translate_eng_fr_upper,translate_eng_fr+uppercase
red,ROUGE,translate_eng_fr_upper,translate_eng_fr+uppercase
blue,BLEU,translate_eng_fr_upper,translate_eng_fr+uppercase
green,VERT,translate_eng_fr_upper,translate_eng_fr+uppercase
yellow,JAUNE,translate_eng_fr_upper,translate_eng_fr+uppercase
black,NOIR,translate_eng_fr_upper,translate_eng_fr+uppercase
white,BLANC,translate_eng_fr_upper,translate_eng_fr+uppercase
purple,VIOLET,translate_eng_fr_upper,translate_eng_fr+uppercase
pink,ROSE,translate_eng_fr_upper,translate_eng_fr+uppercase
gray,GRIS,translate_eng_fr_upper,translate_eng_fr+uppercase
brown,MARRON,translate_eng_fr_upper,translate_eng_fr+uppercase
